"algoritmo","aleatoria","crescente","decrescente"
"bolha","0.026633024","0.009930372","0.012869358"
"bolha-parada","0.030628920","0.000003099","0.014713287"
"insercao","0.007726908","0.000009537","0.015097141"
"insercao-bin","0.002248287","0.000074387","0.003630400"
"insercao-ter","0.002520323","0.000087023","0.003584385"
"shell","0.000684977","0.000089884","0.000130415"
"selecao","0.009216547","0.008524656","0.009212971"
"heap","0.000591516","0.000383615","0.000426054"
"quick-centro","0.000519037","0.000060081","0.000068426"
"quick-mediana","0.000505209","0.000067711","0.000085592"
"merge","0.001075268","0.000753164","0.000753641"
"radix","0.000152349","0.000179291","0.000156879"
"bucket","0.001029730","0.000050545","0.001885891"

