"algoritmo","tamanho","tipo"
"bolha","1000000","aleatoria"
"bolha_parada","1000000","aleatoria"
"insercao","1000000","aleatoria"
"insercao_binaria","1000000","aleatoria"
"insercao_ternaria","1000000","aleatoria"
"selecao","1000000","aleatoria"
"bucket","1000000","aleatoria"
"bolha","1000000","crescente"
"selecao","1000000","crescente"
"bolha","1000000","decrescente"
"bolha_parada","1000000","decrescente"
"insercao","1000000","decrescente"
"insercao_binaria","1000000","decrescente"
"insercao_ternaria","1000000","decrescente"
"selecao","1000000","decrescente"
"bucket","1000000","decrescente"
