"algoritmo","tamanho","tipo","comparacoes","trocas","tempo_s"
"bolha","10000","aleatoria","49995000","25038974","0,026633024"
"bolha_parada","10000","aleatoria","49980635","25038974","0,03062892"
"insercao","10000","aleatoria","25048964","25048973","0,007726908"
"insercao_binaria","10000","aleatoria","118946","25048973","0,002248287"
"insercao_ternaria","10000","aleatoria","127309","25048973","0,002520323"
"shell","10000","aleatoria","263627","268749","0,000684977"
"selecao","10000","aleatoria","49995000","9990","0,009216547"
"heap","10000","aleatoria","235466","124254","0,000591516"
"quick_centro","10000","aleatoria","172209","33856","0,000519037"
"quick_mediana","10000","aleatoria","184058","35004","0,000505209"
"merge","10000","aleatoria","120502","133616","0,001075268"
"radix","10000","aleatoria","9999","100000","0,000152349"
"bucket","10000","aleatoria","2540574","2550640","0,00102973"
"bolha","10000","crescente","49995000","0","0,009930372"
"bolha_parada","10000","crescente","9999","0","3,099E-06"
"insercao","10000","crescente","9999","9999","9,537E-06"
"insercao_binaria","10000","crescente","123617","9999","7,4387E-05"
"insercao_ternaria","10000","crescente","150486","9999","8,7023E-05"
"shell","10000","crescente","120005","120005","8,9884E-05"
"selecao","10000","crescente","49995000","0","0,008524656"
"heap","10000","crescente","244460","131956","0,000383615"
"quick_centro","10000","crescente","125439","5904","6,0081E-05"
"quick_mediana","10000","crescente","137247","5904","6,7711E-05"
"merge","10000","crescente","69008","133616","0,000753164"
"radix","10000","crescente","9999","100000","0,000179291"
"bucket","10000","crescente","19989","29990","5,0545E-05"
"bolha","10000","decrescente","49995000","49995000","0,012869358"
"bolha_parada","10000","decrescente","49995000","49995000","0,014713287"
"insercao","10000","decrescente","49995000","50004999","0,015097141"
"insercao_binaria","10000","decrescente","113631","50004999","0,0036304"
"insercao_ternaria","10000","decrescente","75243","50004999","0,003584385"
"shell","10000","decrescente","172578","182565","0,000130415"
"selecao","10000","decrescente","49995000","5000","0,009212971"
"heap","10000","decrescente","226682","116696","0,000426054"
"quick_centro","10000","decrescente","125452","10904","6,8426E-05"
"quick_mediana","10000","decrescente","137262","10904","8,5592E-05"
"merge","10000","decrescente","64608","133616","0,000753641"
"radix","10000","decrescente","9999","100000","0,000156879"
"bucket","10000","decrescente","5004999","5024990","0,001885891"
"shell","1000000","aleatoria","65724076","66226717","0,126871824"
"heap","1000000","aleatoria","36794531","19049328","0,111006498"
"quick_centro","1000000","aleatoria","27903893","4852801","0,068959951"
"quick_mediana","1000000","aleatoria","27603809","5016553","0,069190264"
"merge","1000000","aleatoria","18674269","19951424","0,116347075"
"radix","1000000","aleatoria","999999","14000000","0,036098003"
"bolha_parada","1000000","crescente","999999","0","0,000366211"
"insercao","1000000","crescente","999999","999999","0,000937462"
"insercao_binaria","1000000","crescente","18951425","999999","0,012098551"
"insercao_ternaria","1000000","crescente","23608530","999999","0,013160944"
"shell","1000000","crescente","18000007","18000007","0,013895988"
"heap","1000000","crescente","37692069","19787792","0,04810214"
"quick_centro","1000000","crescente","19000019","524287","0,007274866"
"quick_mediana","1000000","crescente","20048593","524287","0,007854223"
"merge","1000000","crescente","10066432","19951424","0,088405371"
"radix","1000000","crescente","999999","14000000","0,031106234"
"bucket","1000000","crescente","1999989","2999990","0,003863096"
"shell","1000000","decrescente","26357530","27357511","0,017968178"
"heap","1000000","decrescente","36001436","18333408","0,050829887"
"quick_centro","1000000","decrescente","19000036","1024286","0,008491278"
"quick_mediana","1000000","decrescente","20048610","1024286","0,008160114"
"merge","1000000","decrescente","9884992","19951424","0,086262941"
"radix","1000000","decrescente","999999","14000000","0,033104897"
